,Date,C,C#,C++,COBOL,Classic Visual Basic,Dart,Delphi/Object Pascal,Fortran,Go,Groovy,Java,JavaScript,Julia,Kotlin,Lua,MATLAB,Objective-C,PHP,PL/SQL,Perl,Prolog,Python,R,Ruby,Rust,SQL,Scratch,Swift,Transact-SQL,Visual Basic,Assembly
0,2020-09-01,15.95,4.58,7.11,,,0.77,,,1.46,0.99,13.48,2.54,,,,1.1,0.85,2.49,,1.3,,10.47,2.37,1.24,0.92,1.76,,1.38,,4.12,1.3
1,2020-10-01,16.95,4.16,6.94,,0.77,,,,1.16,1.23,12.56,2.14,,,,1.12,0.86,2.09,0.77,1.43,,11.28,1.99,1.16,,1.57,,1.09,,3.97,1.08
2,2020-11-01,16.21,4.67,7.6,,,,0.86,,1.36,1.51,11.68,2.03,,,,1.1,0.84,1.79,,1.51,,12.12,1.64,1.22,,1.54,,1.35,0.82,4.01,1.17
3,2020-12-01,16.48,4.2,6.91,,,,0.87,,1.14,1.53,12.53,2.35,,,,1.1,0.81,2.21,0.78,1.2,,12.21,1.6,1.16,,1.53,,1.22,,3.92,1.35
4,2021-01-01,17.38,3.95,7.56,,0.79,,0.79,,1.41,1.84,11.96,2.2,,,,1.15,1.0,1.99,,1.02,,11.72,1.9,1.3,,1.61,,1.43,,3.84,1.64
5,2021-02-01,16.34,4.44,6.88,,1.01,,1.02,,1.28,1.5,11.29,2.27,,,,1.06,0.89,1.75,,0.93,,10.86,1.56,1.23,,1.72,,1.13,,4.33,1.65
6,2021-03-01,15.33,4.97,6.52,,1.26,,1.2,,1.31,1.19,10.45,2.11,,,,1.04,0.91,2.07,,1.15,,10.31,1.25,1.18,,1.87,,0.95,,4.85,1.97
7,2021-04-01,14.32,4.91,7.14,,1.54,,1.23,0.91,1.22,1.04,11.23,2.44,,,,0.99,,1.84,,0.99,,11.03,1.12,1.23,,1.83,,1.19,,4.55,2.32
8,2021-05-01,13.38,4.41,7.81,,1.41,,1.21,0.83,1.22,1.25,11.74,2.45,,,,1.23,,1.86,,1.04,,11.87,1.38,1.5,,1.71,,1.14,,4.02,2.43
9,2021-06-01,12.54,4.33,7.36,,1.72,,1.06,1.07,0.95,1.29,11.54,2.33,,,,1.05,,2.21,,1.18,,11.84,1.2,1.23,,1.88,,1.1,,4.01,2.05
10,2021-07-01,11.62,4.83,8.01,,1.39,,0.85,1.12,1.17,1.09,11.17,2.71,,,,0.88,,2.58,,0.9,,10.95,1.32,0.95,,1.53,,1.07,,4.5,2.4
11,2021-08-01,12.57,5.14,7.36,,1.23,,,1.14,0.9,1.36,10.43,2.95,,,,0.98,,2.19,,0.78,0.8,11.86,1.05,1.01,,1.47,,0.98,,4.67,2.03
12,2021-09-01,11.83,5.78,7.13,,1.52,,0.77,1.01,1.13,1.46,11.12,2.55,,,,1.02,,1.85,,0.78,,11.67,0.98,1.27,,1.8,,1.07,,4.62,2.42
13,2021-10-01,11.16,5.26,7.5,,1.83,,0.93,1.08,1.28,1.18,10.46,2.19,,,,1.2,,2.1,,0.93,,11.27,1.2,1.12,,2.17,,1.11,,5.24,2.06
14,2021-11-01,10.72,6.06,8.28,,1.56,,1.22,1.19,1.21,1.51,10.72,2.66,,,,1.17,,1.81,,1.22,,11.77,1.28,1.43,,2.11,,1.43,,5.72,2.52
15,2021-12-01,11.8,6.4,7.73,,1.27,,1.14,1.04,0.95,1.23,10.12,2.3,,,,0.92,,1.5,,0.96,,12.9,1.58,1.16,,1.79,,1.76,,5.4,2.25
16,2022-01-01,12.44,5.68,8.29,,0.98,,0.99,0.77,1.04,0.94,10.66,2.09,,,,0.96,,1.4,,0.71,,13.58,1.25,0.88,,1.8,,1.41,,4.74,1.85
17,2022-02-01,14.08,5.37,8.01,,0.83,,0.9,,1.23,0.74,12.13,1.83,,,,1.03,0.81,1.79,,0.79,,15.33,1.11,0.89,,1.55,,1.18,,5.23,1.6
18,2022-03-01,13.06,5.92,8.66,,0.6,,1.12,,0.98,,11.19,2.09,,,0.56,0.8,0.59,1.92,,0.57,,14.26,1.37,0.66,,1.85,,0.9,,5.77,1.9
19,2022-04-01,12.71,6.82,8.28,,0.83,,1.18,,1.09,,10.82,2.41,,,0.78,0.74,0.82,1.64,,0.79,,13.92,1.55,0.88,,2.28,,1.0,,5.4,2.35
20,2022-05-01,11.59,6.39,8.83,,1.03,,1.42,,1.11,,10.99,2.12,,,0.98,0.82,1.03,1.52,,0.99,,12.74,1.22,0.86,,1.87,,1.23,,5.86,1.92
21,2022-06-01,11.91,6.12,9.63,,1.33,,1.32,,1.02,,10.47,2.09,,,0.76,,1.02,1.25,,0.76,0.74,12.2,0.98,0.75,,1.94,,1.55,,5.42,1.85
22,2022-07-01,13.13,5.65,10.0,,1.07,,1.06,0.76,1.14,,11.59,1.78,,,,0.73,0.94,1.2,,0.78,,13.44,0.76,0.99,,1.64,,1.27,,4.97,1.65
23,2022-08-01,14.59,5.59,10.17,,1.27,,1.22,0.81,0.98,,12.4,2.33,,,,0.9,1.22,1.39,,0.72,,15.42,0.92,0.82,,1.7,,1.27,,4.99,2.17
24,2022-09-01,13.96,4.88,9.76,,0.98,,1.09,1.03,1.16,,11.72,2.82,,,,1.06,1.49,1.68,,0.72,,15.74,0.95,0.66,,2.01,,0.98,,4.39,2.49
25,2022-10-01,15.21,4.42,9.92,,0.87,,0.85,0.79,1.27,,12.84,2.74,,,,1.18,1.21,2.04,,,,17.08,1.22,0.88,,1.78,,1.05,,3.95,2.39
26,2022-11-01,15.08,4.25,10.75,,1.1,,1.08,,1.15,,11.98,2.74,,,,1.02,0.93,1.69,,,,17.18,1.14,0.85,0.75,1.82,0.88,0.87,,4.11,2.18
27,2022-12-01,16.56,4.92,11.94,,1.15,,0.85,,1.15,,11.82,3.19,,,,0.95,0.71,1.62,,0.78,,16.66,1.25,0.81,0.68,2.22,,0.91,,3.94,1.87
28,2023-01-01,16.26,5.73,12.91,,0.98,,0.73,,1.14,,12.21,2.87,,,,0.91,,1.39,,0.59,,16.36,1.04,0.8,0.61,2.5,0.58,1.2,,4.64,1.6
29,2023-02-01,15.39,6.38,13.94,,0.74,,0.95,,1.11,,13.21,2.52,,,,0.99,,1.29,,0.89,,15.49,1.08,0.83,0.7,2.12,0.86,0.93,,4.14,1.38
30,2023-03-01,14.73,7.17,13.29,,0.98,,1.06,0.79,1.24,,13.56,2.17,,,,1.08,,1.61,,,,14.83,0.93,0.76,0.73,1.95,1.0,0.71,,4.75,1.11
31,2023-04-01,14.41,8.21,12.96,,0.92,,1.23,0.59,1.28,,13.23,2.1,,,,0.86,,1.36,,,,14.51,0.76,0.66,0.63,1.68,0.79,0.72,,4.4,1.03
32,2023-05-01,13.35,7.43,11.96,,0.75,,1.01,0.78,0.99,,12.22,2.44,,,,0.88,,1.59,,,,13.45,0.82,0.8,0.82,1.48,0.95,0.91,,3.84,1.2
33,2023-06-01,12.37,6.71,11.36,,0.96,,1.26,0.99,1.0,,11.28,2.82,,,,1.11,,1.74,,,,12.46,0.94,0.94,0.91,1.47,1.02,0.93,,3.34,1.29
34,2023-07-01,11.56,6.87,10.8,0.86,,,0.98,1.25,1.07,,10.5,3.11,,,,1.26,,1.41,,,,13.42,0.87,0.91,0.89,1.48,1.07,0.88,,2.9,1.01
35,2023-08-01,11.41,7.04,10.63,0.96,,,,1.03,1.16,,10.33,3.29,0.85,,,1.05,,1.27,,,,13.33,0.92,0.91,0.89,1.53,1.22,0.9,,2.63,1.34
36,2023-09-01,11.27,7.31,10.65,,,,1.02,1.28,1.19,,9.49,3.3,,0.9,,1.19,,1.55,,,,14.16,0.97,0.95,0.97,1.44,1.08,1.0,,2.22,1.53
