Year,Month,Assembly Language,Assmebly Language,Assmembly Language,C,C#,C++,COBOL,Classic Visual Basic,Dart,Delphi/Object Pascal,Fortran,Go,Groovy,Java,JavaScript,Julia,Kotlin,Lua,MATLAB,Objective-C,PHP,PL/SQL,Perl,Prolog,Python,R,Ruby,Rust,SQL,Scratch,Swift,Transact-SQL,Visual Basic
2020,Change(%),0.02750000000000001,,,0.52,0.31,1.2225,,-0.46,0.13,-0.345,,0.24,0.10499999999999998,-4.1975,0.2075,,,,0.14,-0.5925,0.235,-0.009999999999999998,0.41000000000000003,,1.7374999999999998,0.8300000000000001,-0.08,0.55,-0.255,,-0.14500000000000002,0.44,0.0025000000000000022
2020,Dec 2019,14.0,,,2.0,5.0,4.0,,,,12.0,,15.0,22.0,1.0,7.0,,,,17.0,13.0,8.0,24.0,20.0,,3.0,16.0,11.0,,9.0,,10.0,,6.0
2020,Dec 2020,12.0,,,1.0,5.0,4.0,,,,18.0,,16.0,11.0,2.0,7.0,,,,17.0,19.0,8.0,20.0,14.0,,3.0,9.0,15.0,,10.0,,13.0,,6.0
2020,Nov 2019,15.0,,,2.0,5.0,4.0,,,,13.0,,20.0,14.0,1.0,7.0,,,,19.0,12.0,8.0,,21.0,,3.0,16.0,11.0,,9.0,,10.0,32.0,6.0
2020,Nov 2020,16.0,,,1.0,5.0,4.0,,,,18.0,,13.0,11.0,3.0,7.0,,,,17.0,19.0,8.0,,12.0,,2.0,9.0,15.0,,10.0,,14.0,20.0,6.0
2020,Oct 2019,14.0,,,2.0,5.0,4.0,,16.0,,,,17.0,11.0,1.0,7.0,,,,20.0,10.0,9.0,22.0,19.0,,3.0,15.0,13.0,,8.0,,12.0,,6.0
2020,Oct 2020,17.0,,,1.0,5.0,4.0,,19.0,,,,14.0,12.0,2.0,7.0,,,,15.0,18.0,8.0,20.0,11.0,,3.0,9.0,13.0,,10.0,,16.0,,6.0
2020,Ratings(%),1.225,,,16.3975,4.4025,7.140000000000001,,0.77,0.77,0.865,,1.28,1.315,12.5625,2.265,,,,1.105,0.84,2.145,0.775,1.3599999999999999,,11.52,1.9,1.1949999999999998,0.92,1.6,,1.26,0.82,4.005
2020,Sep 2019,12.0,,,2.0,5.0,4.0,,,24.0,,,14.0,11.0,1.0,7.0,,,,18.0,10.0,9.0,,20.0,,3.0,19.0,15.0,33.0,8.0,,16.0,,6.0
2020,Sep 2020,14.0,,,1.0,5.0,4.0,,,20.0,,,11.0,17.0,2.0,7.0,,,,16.0,19.0,8.0,,13.0,,3.0,9.0,15.0,18.0,10.0,,12.0,,6.0
2021,Apr 2020,14.0,,,2.0,5.0,4.0,,19.0,,22.0,34.0,12.0,48.0,1.0,7.0,,,,18.0,,8.0,,16.0,,3.0,10.0,13.0,,9.0,,11.0,,6.0
2021,Apr 2021,8.0,,,1.0,5.0,4.0,,11.0,,12.0,20.0,14.0,17.0,2.0,7.0,,,,19.0,,9.0,,18.0,,3.0,16.0,13.0,,10.0,,15.0,,6.0
2021,Aug 2020,14.0,,,1.0,5.0,4.0,,17.0,,,42.0,11.0,18.0,2.0,7.0,,,,16.0,,9.0,,13.0,36.0,3.0,8.0,15.0,,10.0,,12.0,,6.0
2021,Aug 2021,9.0,,,1.0,5.0,4.0,,12.0,,,13.0,18.0,11.0,3.0,7.0,,,,17.0,,8.0,,20.0,19.0,2.0,14.0,15.0,,10.0,,16.0,,6.0
2021,Change(%),0.9199999999999999,1.12,1.35,-3.3233333333333337,0.21583333333333335,0.8583333333333333,,0.6266666666666666,,0.34909090909090906,0.7055555555555555,-0.055,0.5975,-4.058333333333334,0.06999999999999999,,,,0.07916666666666666,0.1466666666666667,-0.2041666666666667,,-0.04666666666666666,0.41,1.4375,-0.4683333333333333,0.1475,,0.11666666666666665,,-0.23083333333333333,,-0.011666666666666678
2021,Dec 2020,12.0,,,1.0,5.0,4.0,,23.0,,18.0,32.0,16.0,11.0,2.0,7.0,,,,17.0,,8.0,,14.0,,3.0,9.0,15.0,,10.0,,13.0,,6.0
2021,Dec 2021,8.0,,,2.0,5.0,4.0,,13.0,,16.0,17.0,19.0,14.0,3.0,7.0,,,,20.0,,12.0,,18.0,,1.0,11.0,15.0,,9.0,,10.0,,6.0
2021,Feb 2020,12.0,,,2.0,5.0,4.0,,22.0,,18.0,,11.0,26.0,1.0,7.0,,,,16.0,20.0,8.0,,19.0,,3.0,13.0,15.0,,9.0,,10.0,,6.0
2021,Feb 2021,10.0,,,1.0,5.0,4.0,,18.0,,17.0,,13.0,12.0,2.0,7.0,,,,16.0,20.0,8.0,,19.0,,3.0,11.0,14.0,,9.0,,15.0,,6.0
2021,Jan 2020,15.0,,,2.0,5.0,4.0,,16.0,,12.0,,14.0,23.0,1.0,7.0,,,,20.0,13.0,8.0,,19.0,,3.0,18.0,11.0,,10.0,,9.0,,6.0
2021,Jan 2021,11.0,,,1.0,5.0,4.0,,20.0,,19.0,,14.0,10.0,2.0,7.0,,,,16.0,18.0,8.0,,17.0,,3.0,9.0,15.0,,12.0,,13.0,,6.0
2021,Jul 2020,13.0,,,1.0,5.0,4.0,,20.0,,30.0,50.0,12.0,24.0,2.0,7.0,,,,15.0,,9.0,,14.0,,3.0,8.0,16.0,,11.0,,10.0,,6.0
2021,Jul 2021,9.0,,,1.0,5.0,4.0,,11.0,,20.0,14.0,13.0,15.0,2.0,7.0,,,,19.0,,8.0,,18.0,,3.0,12.0,17.0,,10.0,,16.0,,6.0
2021,Jun 2020,14.0,,,1.0,5.0,4.0,,19.0,,22.0,37.0,12.0,31.0,2.0,7.0,,,,15.0,,8.0,,15.0,,3.0,9.0,13.0,,10.0,,11.0,,6.0
2021,Jun 2021,9.0,,,1.0,5.0,4.0,,11.0,,18.0,17.0,20.0,12.0,3.0,7.0,,,,19.0,,8.0,,15.0,,2.0,14.0,13.0,,10.0,,16.0,,6.0
2021,Mar 2020,12.0,,,2.0,5.0,4.0,,18.0,,20.0,,10.0,36.0,1.0,7.0,,,,15.0,19.0,8.0,,17.0,,3.0,11.0,14.0,,9.0,,13.0,,6.0
2021,Mar 2021,9.0,,,1.0,5.0,4.0,,12.0,,14.0,,11.0,15.0,2.0,7.0,,,,18.0,20.0,8.0,,17.0,,3.0,13.0,16.0,,10.0,,19.0,,6.0
2021,May 2020,14.0,,,1.0,5.0,4.0,,17.0,,23.0,34.0,12.0,38.0,2.0,7.0,,,,13.0,,8.0,,18.0,,3.0,10.0,15.0,,9.0,,11.0,,6.0
2021,May 2021,8.0,,,1.0,5.0,4.0,,12.0,,17.0,20.0,16.0,14.0,3.0,7.0,,,,15.0,,9.0,,19.0,,2.0,13.0,11.0,,10.0,,18.0,,6.0
2021,Nov 2020,,,16.0,1.0,5.0,4.0,,21.0,,18.0,34.0,13.0,11.0,3.0,7.0,,,,17.0,,8.0,,12.0,,2.0,9.0,15.0,,10.0,,14.0,,6.0
2021,Nov 2021,,,8.0,2.0,5.0,4.0,,11.0,,17.0,19.0,18.0,12.0,3.0,7.0,,,,20.0,,10.0,,16.0,,1.0,15.0,13.0,,9.0,,14.0,,6.0
2021,Oct 2020,17.0,,,1.0,5.0,4.0,,19.0,,22.0,37.0,14.0,12.0,2.0,7.0,,,,15.0,,8.0,,11.0,,3.0,9.0,13.0,,10.0,,16.0,,6.0
2021,Oct 2021,10.0,,,2.0,5.0,4.0,,11.0,,20.0,18.0,12.0,15.0,3.0,7.0,,,,13.0,,9.0,,19.0,,1.0,14.0,16.0,,8.0,,17.0,,6.0
2021,Ratings(%),2.0855555555555556,2.42,2.52,13.249166666666667,5.04,7.44,,1.3775000000000002,,1.038181818181818,1.0433333333333334,1.1691666666666667,1.3283333333333334,11.019166666666665,2.43,,,,1.0574999999999999,0.9333333333333332,1.9791666666666667,,0.9900000000000001,0.8,11.504166666666668,1.3183333333333334,1.2175,,1.7908333333333333,,1.1966666666666665,,4.645833333333333
2021,Sep 2020,,14.0,,1.0,5.0,4.0,,22.0,,29.0,37.0,11.0,17.0,2.0,7.0,,,,16.0,,8.0,,13.0,,3.0,9.0,15.0,,10.0,,12.0,,6.0
2021,Sep 2021,,8.0,,1.0,5.0,4.0,,11.0,,20.0,17.0,14.0,12.0,3.0,7.0,,,,16.0,,9.0,,19.0,,2.0,18.0,13.0,,10.0,,15.0,,6.0
2022,Apr 2021,8.0,,,1.0,5.0,4.0,,11.0,,12.0,,14.0,,2.0,7.0,,,37.0,19.0,23.0,9.0,,18.0,,3.0,16.0,13.0,,10.0,,15.0,,6.0
2022,Apr 2022,8.0,,,2.0,5.0,4.0,,16.0,,12.0,,13.0,,3.0,7.0,,,19.0,20.0,17.0,10.0,,18.0,,1.0,11.0,15.0,,9.0,,14.0,,6.0
2022,Aug 2021,9.0,,,1.0,5.0,4.0,,12.0,,22.0,13.0,18.0,,3.0,7.0,,,,17.0,23.0,8.0,,20.0,,2.0,14.0,15.0,,10.0,,16.0,,6.0
2022,Aug 2022,8.0,,,2.0,5.0,4.0,,12.0,,13.0,19.0,15.0,,3.0,7.0,,,,17.0,14.0,10.0,,20.0,,1.0,16.0,18.0,,9.0,,11.0,,6.0
2022,Change(%),-0.12916666666666665,,,0.4424999999999999,0.46166666666666667,2.0766666666666667,,-0.37666666666666665,,0.06666666666666667,-0.12799999999999997,-0.06,-0.8300000000000001,0.5299999999999999,-0.0775,,,0.4375,-0.1309090909090909,0.31,-0.385,,-0.211,0.18,3.2883333333333336,-0.17416666666666666,-0.3925,0.20333333333333334,0.07916666666666668,0.11,-0.06416666666666666,,0.2525
2022,Dec 2021,8.0,,,2.0,5.0,4.0,,13.0,,16.0,,19.0,,3.0,7.0,,,,20.0,29.0,12.0,,18.0,,1.0,11.0,15.0,27.0,9.0,,10.0,,6.0
2022,Dec 2022,9.0,,,2.0,5.0,3.0,,13.0,,16.0,,12.0,,4.0,7.0,,,,14.0,19.0,10.0,,18.0,,1.0,11.0,17.0,20.0,8.0,,15.0,,6.0
2022,Feb 2021,10.0,,,1.0,5.0,4.0,,18.0,,17.0,,13.0,12.0,2.0,7.0,,,,16.0,20.0,8.0,,19.0,,3.0,11.0,14.0,,9.0,,15.0,,6.0
2022,Feb 2022,9.0,,,2.0,5.0,4.0,,17.0,,15.0,,11.0,20.0,3.0,7.0,,,,14.0,18.0,8.0,,19.0,,1.0,13.0,16.0,,10.0,,12.0,,6.0
2022,Jan 2021,11.0,,,1.0,5.0,4.0,,20.0,,19.0,30.0,14.0,10.0,2.0,7.0,,,,16.0,,8.0,,17.0,,3.0,9.0,15.0,,12.0,,13.0,,6.0
2022,Jan 2022,8.0,,,2.0,5.0,4.0,,15.0,,14.0,19.0,13.0,17.0,3.0,7.0,,,,16.0,,11.0,,20.0,,1.0,12.0,18.0,,9.0,,10.0,,6.0
2022,Jul 2021,9.0,,,1.0,5.0,4.0,,11.0,,20.0,14.0,13.0,,2.0,7.0,,,,19.0,21.0,8.0,,18.0,,3.0,12.0,17.0,,10.0,,16.0,,6.0
2022,Jul 2022,8.0,,,2.0,5.0,4.0,,13.0,,14.0,18.0,12.0,,3.0,7.0,,,,20.0,16.0,11.0,,17.0,,1.0,19.0,15.0,,9.0,,10.0,,6.0
2022,Jun 2021,9.0,,,1.0,5.0,4.0,,11.0,,18.0,,20.0,,3.0,7.0,,,38.0,,23.0,8.0,,15.0,26.0,2.0,14.0,13.0,,10.0,,16.0,,6.0
2022,Jun 2022,9.0,,,2.0,5.0,4.0,,11.0,,12.0,,15.0,,3.0,7.0,,,18.0,,14.0,13.0,,17.0,20.0,1.0,16.0,19.0,,8.0,,10.0,,6.0
2022,Mar 2021,9.0,,,1.0,5.0,4.0,,12.0,,14.0,,11.0,,2.0,7.0,,,38.0,18.0,20.0,8.0,,17.0,,3.0,13.0,16.0,,10.0,,19.0,,6.0
2022,Mar 2022,9.0,,,2.0,5.0,4.0,,17.0,,12.0,,13.0,,3.0,7.0,,,20.0,15.0,18.0,8.0,,19.0,,1.0,11.0,16.0,,10.0,,14.0,,6.0
2022,May 2021,8.0,,,1.0,5.0,4.0,,12.0,,17.0,,16.0,,3.0,7.0,,,37.0,15.0,21.0,9.0,,19.0,,2.0,13.0,11.0,,10.0,,18.0,,6.0
2022,May 2022,8.0,,,2.0,5.0,4.0,,15.0,,11.0,,14.0,,3.0,7.0,,,18.0,20.0,16.0,10.0,,17.0,,1.0,13.0,19.0,,9.0,,12.0,,6.0
2022,Nov 2021,8.0,,,2.0,5.0,4.0,,11.0,,17.0,,18.0,,3.0,7.0,,,,20.0,28.0,10.0,,,,1.0,15.0,13.0,29.0,9.0,24.0,14.0,,6.0
2022,Nov 2022,8.0,,,2.0,5.0,4.0,,13.0,,14.0,,11.0,,3.0,7.0,,,,15.0,16.0,10.0,,,,1.0,12.0,19.0,20.0,9.0,17.0,18.0,,6.0
2022,Oct 2021,10.0,,,2.0,5.0,4.0,,11.0,,20.0,18.0,12.0,,3.0,7.0,,,,13.0,29.0,9.0,,,,1.0,14.0,16.0,26.0,8.0,,17.0,,6.0
2022,Oct 2022,8.0,,,2.0,5.0,4.0,,17.0,,18.0,19.0,11.0,,3.0,7.0,,,,14.0,13.0,9.0,,,,1.0,12.0,16.0,20.0,10.0,,15.0,,6.0
2022,Ratings(%),2.018333333333333,,,13.693333333333333,5.5008333333333335,9.52,,1.0033333333333332,,1.09,0.8320000000000001,1.11,0.84,11.550833333333335,2.3525,,,0.77,0.9263636363636363,0.979090909090909,1.595,,0.761,0.74,14.795833333333333,1.1433333333333333,0.8275,23.810000000000002,1.8716666666666668,0.88,1.135,,4.8975
2022,Sep 2021,8.0,,,1.0,5.0,4.0,,11.0,,20.0,17.0,14.0,,3.0,7.0,,,,16.0,24.0,9.0,,19.0,,2.0,18.0,13.0,,10.0,,15.0,,6.0
2022,Sep 2022,8.0,,,2.0,5.0,4.0,,17.0,,13.0,15.0,12.0,,3.0,7.0,,,,14.0,11.0,10.0,,19.0,,1.0,18.0,20.0,,9.0,,16.0,,6.0
2023,Apr 2022,8.0,,,2.0,5.0,4.0,,16.0,,12.0,31.0,13.0,,3.0,7.0,,,,20.0,,10.0,,,,1.0,11.0,15.0,28.0,8.0,24.0,14.0,,6.0
2023,Apr 2023,12.0,,,2.0,5.0,4.0,,13.0,,11.0,20.0,10.0,,3.0,7.0,,,,14.0,,9.0,,,,1.0,16.0,18.0,19.0,8.0,15.0,17.0,,6.0
2023,Aug 2022,7.0,,,2.0,5.0,4.0,21.0,,,,18.0,15.0,,3.0,8.0,28.0,,,17.0,,10.0,,,,1.0,16.0,19.0,22.0,9.0,21.0,11.0,,6.0
2023,Aug 2023,9.0,,,2.0,5.0,3.0,15.0,,,,14.0,12.0,,4.0,6.0,20.0,,,13.0,,10.0,,,,1.0,16.0,17.0,19.0,8.0,11.0,18.0,,7.0
2023,Change(%),-0.8300000000000001,,,0.3455555555555555,1.1777777777777778,2.99,0.45999999999999996,0.05166666666666667,,-0.1075,0.35285714285714287,0.05111111111111112,,0.4411111111111112,0.5577777777777778,0.41,0.59,,0.18666666666666665,,-0.05777777777777778,,-0.065,,0.13111111111111104,-0.19666666666666666,0.030000000000000002,0.30333333333333334,-0.10555555555555557,0.32555555555555554,-0.28777777777777774,,-1.5344444444444445
2023,Feb 2022,9.0,,,2.0,5.0,4.0,,17.0,,15.0,,11.0,,3.0,7.0,,,,14.0,,8.0,,18.0,,1.0,13.0,16.0,24.0,10.0,22.0,12.0,,6.0
2023,Feb 2023,9.0,,,2.0,5.0,3.0,,19.0,,14.0,,11.0,,4.0,7.0,,,,13.0,,10.0,,17.0,,1.0,12.0,16.0,20.0,8.0,18.0,15.0,,6.0
2023,Jan 2022,8.0,,,2.0,5.0,4.0,,15.0,,14.0,,13.0,,3.0,7.0,,,,16.0,,11.0,,20.0,,1.0,12.0,18.0,26.0,9.0,23.0,10.0,,6.0
2023,Jan 2023,9.0,,,2.0,5.0,3.0,,14.0,,17.0,,12.0,,4.0,7.0,,,,15.0,,10.0,,19.0,,1.0,13.0,16.0,18.0,8.0,20.0,11.0,,6.0
2023,Jul 2022,8.0,,,2.0,5.0,4.0,26.0,,,14.0,18.0,12.0,,3.0,7.0,,,,20.0,,11.0,,,,1.0,19.0,15.0,29.0,9.0,21.0,10.0,,6.0
2023,Jul 2023,14.0,,,2.0,5.0,3.0,20.0,,,15.0,11.0,13.0,,4.0,6.0,,,,10.0,,9.0,,,,1.0,19.0,16.0,17.0,8.0,12.0,18.0,,7.0
2023,Jun 2022,9.0,,,2.0,5.0,4.0,,11.0,,12.0,26.0,15.0,,3.0,7.0,,,,24.0,,13.0,,,,1.0,16.0,19.0,27.0,8.0,25.0,10.0,,6.0
2023,Jun 2023,10.0,,,2.0,5.0,3.0,,16.0,,11.0,15.0,14.0,,4.0,7.0,,,,12.0,,8.0,,,,1.0,17.0,18.0,20.0,9.0,13.0,19.0,,6.0
2023,Mar 2022,9.0,,,2.0,5.0,4.0,,17.0,,12.0,30.0,13.0,,3.0,7.0,,,,15.0,,8.0,,,,1.0,11.0,16.0,26.0,10.0,23.0,14.0,,6.0
2023,Mar 2023,11.0,,,2.0,5.0,4.0,,15.0,,13.0,17.0,10.0,,3.0,7.0,,,,12.0,,9.0,,,,1.0,16.0,18.0,19.0,8.0,14.0,20.0,,6.0
2023,May 2022,8.0,,,2.0,5.0,4.0,,15.0,,11.0,30.0,14.0,,3.0,7.0,,,,20.0,,10.0,,,,1.0,13.0,19.0,28.0,9.0,24.0,12.0,,6.0
2023,May 2023,10.0,,,2.0,5.0,4.0,,20.0,,11.0,19.0,12.0,,3.0,7.0,,,,15.0,,8.0,,,,1.0,16.0,18.0,17.0,9.0,13.0,14.0,,6.0
2023,Ratings(%),1.26375,,,13.416666666666666,6.983333333333333,12.055555555555555,0.9099999999999999,0.8883333333333333,,1.03,0.9585714285714285,1.1311111111111112,,11.78111111111111,2.7355555555555555,0.85,0.9,,1.0366666666666666,,1.4677777777777778,,0.74,,14.223333333333333,0.9255555555555556,0.8400000000000001,0.7944444444444445,1.738888888888889,0.9522222222222223,0.9088888888888889,,3.651111111111111
2023,Sep 2022,8.0,,,2.0,5.0,4.0,,,,13.0,15.0,12.0,,3.0,7.0,,34.0,,14.0,,10.0,,,,1.0,18.0,20.0,26.0,9.0,22.0,16.0,,6.0
2023,Sep 2023,9.0,,,2.0,5.0,3.0,,,,15.0,11.0,12.0,,4.0,6.0,,20.0,,13.0,,8.0,,,,1.0,18.0,19.0,17.0,10.0,14.0,16.0,,7.0
